Img_name,Global_score
img0,0
img1,5.67
img2,0
img3,5.67
img4,5.67
img5,0
img6,5.0
img7,5.0
img8,5.0
img9,5.0
img10,0
img11,0
img12,5.0
img13,0
img14,5.0
img15,5.67
img16,4.0
img17,5.0
img18,0
img19,4.0
img20,5.0
img21,0
img22,5.0
img23,0
img24,6.0
img25,7.0
img26,5.67
img27,6.0
img28,6.0
img29,0
img30,5.0
img31,0
img32,4.0
img33,5.0
img34,5.0
img35,6.0
img36,0
img37,0
img38,6.0
img39,5.67
img40,0
img41,5.0
img42,5.67
img43,0
img44,0
img45,0
img46,0
img47,0
img48,5.0
img49,5.0
img50,0
img51,5.0
img52,5.0
img53,5.0
img54,0
img55,5.67
img56,0
img57,0
img58,6.0
img59,0
img60,5.67
img61,5.0
img62,5.0
img63,5.0
img64,6.0
img65,5.33
img66,5.0
img67,5.0
img68,6.0
img69,6.0
img70,0
img71,6.0
img72,0
img73,7.0
img74,0
img75,0
img76,6.0
img77,5.0
img78,0
img79,0
img80,5.0
img81,4.0
img82,0
img83,0
img84,0
img85,0
img86,5.0
img87,5.67
img88,5.0
img89,4.0
img90,5.0
img91,5.0
img92,5.0
img93,0
img94,0
img95,7.33
img96,5.0
img97,0
img98,0
img99,0
img100,5.0
img101,0
img102,0
img103,0
img104,5.0
img105,5.67
img106,5.67
img107,5.0
img108,0
img109,5.0
img110,5.0
img111,6.0
img112,0
img113,5.0
img114,5.0
img115,0
img116,0
img117,5.0
img118,5.67
img119,0
img120,5.0
img121,0
img122,3.33
img123,0
img124,5.0
img125,0
img126,5.0
img127,5.0
img128,0
img129,0
img130,4.0
img131,0
img132,6.0
img133,5.0
img134,5.67
img135,5.67
img136,5.67
img137,6.33
img138,0
img139,0
img140,0
img141,5.0
img142,0
img143,0
img144,5.0
img145,5.0
img146,5.0
img147,5.67
img148,5.67
img149,0
img150,5.33
img151,0
img152,0
img153,0
img154,0
img155,6.0
img156,0
img157,0
img158,0
img159,0
img160,5.0
img161,5.0
img162,5.0
img163,5.0
img164,6.0
img165,5.0
img166,6.0
img167,4.0
img168,5.0
img169,6.0
img170,0
img171,5.67
img172,0
img173,0
img174,0
img175,0
img176,5.0
img177,0
img178,5.67
img179,5.0
img180,5.0
img181,5.0
img182,5.0
img183,6.0
img184,7.0
img185,0
img186,6.0
img187,4.33
img188,5.0
img189,0
img190,0
img191,5.0
img192,0
img193,0
img194,0
img195,5.0
img196,5.0
img197,5.67
img198,0
img199,5.67
img200,6.0
img201,0
img202,7.0
img203,0
img204,0
img205,0
img206,0
img207,0
img208,5.0
img209,5.33
img210,0
img211,0
img212,0
img213,6.0
img214,6.0
img215,5.0
img216,5.0
img217,5.0
img218,6.0
img219,0
img220,0
img221,5.0
img222,5.33
img223,6.0
img224,5.0
img225,0
img226,0
img227,5.0
img228,0
img229,5.0
img230,5.67
img231,5.0
img232,0
img233,5.0
img234,5.67
img235,5.0
img236,0
img237,5.0
img238,5.0
img239,4.0
img240,0
img241,0
img242,0
img243,0
img244,6.0
img245,5.0
img246,0
img247,0
img248,6.0
img249,0
img250,0
img251,5.67
img252,0
img253,5.0
img254,0
img255,0
img256,0
img257,6.0
img258,0
img259,0
img260,0
img261,8.0
img262,6.0
img263,0
img264,5.0
img265,5.0
img266,6.0
img267,0
img268,6.0
img269,0
img270,5.0
img271,5.0
img272,0
img273,5.0
img274,0
img275,0
img276,0
img277,5.67
img278,0
img279,5.0
img280,5.0
img281,0
img282,4.0
img283,0
img284,5.67
img285,5.67
img286,5.0
img287,7.0
img288,5.0
img289,4.0
img290,0
img291,5.0
img292,5.0
img293,6.0
img294,5.0
img295,5.0
img296,5.67
img297,5.0
img298,0
img299,0
img300,5.67
img301,6.0
img302,4.0
img303,0
img304,5.0
img305,5.67
img306,6.0
img307,6.0
img308,6.0
img309,5.0
img310,5.67
img311,5.67
img312,0
img313,5.67
img314,5.0
img315,0
img316,5.67
img317,0
img318,0
img319,0
img320,5.67
img321,3.67
img322,0
img323,5.0
img324,5.67
img325,6.0
img326,0
img327,6.0
img328,0
img329,5.0
img330,5.0
img331,5.0
img332,5.0
img333,0
img334,5.0
img335,0
img336,5.0
img337,5.0
img338,0
img339,4.0
img340,5.0
img341,4.33
img342,0
img343,5.67
img344,5.0
img345,5.67
img346,6.0
img347,0
img348,0
img349,5.67
img350,4.0
img351,5.0
img352,5.0
img353,0
img354,4.0
img355,5.0
img356,0
img357,6.0
img358,5.67
img359,0
img360,5.0
img361,6.0
img362,0
img363,5.67
img364,0
img365,3.33
img366,4.33
img367,5.67
img368,6.0
img369,5.67
img370,4.0
img371,0
img372,0
img373,5.67
img374,5.0
img375,0
img376,7.0
img377,0
img378,0
img379,0
img380,0
img381,5.0
img382,0
img383,5.0
img384,5.0
img385,6.0
img386,5.0
img387,5.0
img388,5.0
img389,5.0
img390,0
img391,0
img392,0
img393,5.0
img394,0
img395,5.67
img396,5.0
img397,6.0
img398,5.67
img399,6.0
img400,0
img401,5.0
img402,5.0
img403,5.0
img404,5.0
img405,6.0
img406,0
img407,5.0
img408,5.0
img409,6.0
img410,5.67
img411,0
img412,0
img413,0
img414,0
img415,5.33
img416,5.0
img417,5.67
img418,5.0
img419,6.0
img420,4.0
img421,6.33
img422,5.0
img423,0
img424,0
img425,0
img426,7.0
img427,6.0
img428,0
img429,0
img430,5.0
img431,4.0
img432,5.0
img433,5.0
img434,0
img435,5.0
img436,0
img437,5.67
img438,0
img439,6.0
img440,4.0
img441,0
img442,0
img443,0
img444,0
img445,6.0
img446,6.0
img447,5.0
img448,0
img449,0
img450,4.0
img451,0
img452,0
img453,5.0
img454,5.67
img455,5.0
img456,6.0
img457,7.0
img458,0
img459,6.0
img460,6.0
img461,5.0
img462,4.67
img463,0
img464,5.0
img465,0
img466,6.0
img467,0
img468,0
img469,5.0
img470,0
img471,0
img472,5.0
img473,0
img474,0
img475,5.0
img476,0
img477,0
img478,5.0
img479,0
img480,0
img481,0
img482,0
img483,5.0
img484,6.0
img485,0
img486,0
img487,6.0
img488,6.0
img489,5.0
img490,0
img491,5.0
img492,6.0
img493,6.0
img494,5.67
img495,5.0
img496,4.0
img497,6.0
img498,6.0
img499,0
img500,0
img501,0
img502,0
img503,4.0
img504,4.0
img505,6.0
img506,7.0
img507,5.0
img508,5.0
img509,0
img510,5.0
img511,7.0
img512,5.0
img513,0
img514,5.0
img515,5.0
img516,5.0
img517,0
img518,4.0
img519,5.0
img520,0
img521,5.0
img522,6.0
img523,0
img524,5.0
img525,5.67
img526,6.0
img527,4.0
img528,0
img529,5.0
img530,0
img531,6.0
img532,5.0
img533,0
img534,5.0
img535,0
img536,0
img537,0
img538,0
img539,0
img540,5.67
img541,0
img542,5.67
