Img_name,Global_score
img0,6.0
img1,5.0
img2,0
img3,3.33
img4,6.33
img5,0
img6,0
img7,0
img8,0
img9,6.0
img10,0
img11,3.33
img12,2.0
img13,0
img14,0
img15,0
img16,7.0
img17,0
img18,4.33
img19,5.67
img20,0
img21,3.33
img22,8.0
img23,5.0
img24,0
img25,0
img26,6.0
img27,0
img28,6.0
img29,0
img30,4.33
img31,8.0
img32,4.0
img33,0
img34,0
img35,2.67
img36,8.0
img37,0
img38,5.67
img39,0
img40,0
img41,0
img42,0
img43,0
img44,0
img45,0
img46,5.0
img47,0
img48,0
img49,0
img50,6.33
img51,6.0
img52,0
img53,2.67
img54,0
img55,0
img56,4.0
img57,6.0
img58,0
img59,0
img60,2.67
img61,0
img62,4.0
img63,0
img64,0
img65,0
img66,2.67
img67,4.0
img68,2.67
img69,3.33
img70,4.0
img71,0
img72,0
img73,0
img74,0
img75,0
img76,3.0
img77,0
img78,0
img79,0
img80,0
img81,8.0
img82,5.67
img83,0
img84,8.0
img85,0
img86,0
img87,0
img88,0
img89,0
img90,0
img91,6.0
img92,0
img93,2.67
img94,5.0
img95,6.0
img96,4.0
img97,5.0
img98,0
img99,0
img100,0
img101,4.33
img102,4.33
img103,0
img104,0
img105,0
img106,0
img107,0
img108,4.33
img109,0
img110,0
img111,0
img112,0
img113,0
img114,4.0
img115,0
img116,0
img117,0
img118,6.0
img119,4.33
img120,4.33
img121,3.33
img122,0
img123,0
img124,6.0
img125,0
img126,0
img127,0
img128,0
img129,5.0
img130,2.67
img131,0
img132,0
img133,0
img134,0
img135,6.0
img136,6.0
img137,0
img138,0
img139,4.0
img140,0
img141,5.67
img142,4.67
img143,6.33
img144,0
img145,6.33
img146,0
img147,0
img148,6.33
img149,0
img150,2.67
img151,4.0
img152,6.0
img153,4.0
img154,0
img155,4.33
img156,6.33
img157,0
img158,0
img159,0
img160,0
img161,0
img162,6.33
img163,0
img164,4.33
img165,0
img166,0
img167,2.67
img168,0
img169,0
img170,0
img171,6.33
img172,0
img173,0
img174,3.33
img175,4.0
img176,0
img177,6.67
img178,0
img179,0
img180,6.0
img181,0
img182,0
img183,3.33
img184,6.0
img185,6.0
img186,0
img187,6.0
img188,6.0
img189,0
img190,0
img191,0
img192,0
img193,0
img194,0
img195,5.0
img196,0
img197,2.67
img198,0
img199,2.67
img200,8.0
img201,5.0
img202,4.0
img203,0
img204,0
img205,0
img206,0
img207,7.0
img208,0
img209,0
img210,6.0
img211,2.67
img212,4.33
img213,6.0
img214,6.0
img215,0
img216,6.0
img217,8.0
img218,0
img219,0
img220,4.0
img221,0
img222,0
img223,6.0
img224,4.0
img225,0
img226,0
img227,0
img228,5.0
img229,2.67
img230,0
img231,0
img232,6.0
img233,6.0
img234,6.0
img235,0
img236,6.0
img237,0
img238,6.0
img239,5.67
img240,0
img241,0
img242,0
img243,0
img244,0
img245,0
img246,5.0
img247,0
img248,0
img249,0
img250,0
img251,0
img252,0
img253,6.0
img254,0
img255,0
img256,2.67
img257,0
img258,4.33
img259,0
img260,5.0
img261,0
img262,5.0
img263,0
img264,0
img265,0
img266,2.67
img267,0
img268,0
img269,0
img270,0
img271,6.0
img272,0
img273,4.33
img274,8.0
img275,5.67
img276,0
img277,0
img278,5.67
img279,0
img280,4.0
img281,8.0
img282,0
img283,8.0
img284,0
img285,0
img286,0
img287,2.67
img288,0
img289,7.0
img290,0
img291,5.0
img292,0
img293,0
img294,4.0
img295,0
img296,6.67
img297,3.33
img298,6.0
img299,7.0
img300,0
img301,0
img302,0
img303,6.0
img304,0
img305,6.33
img306,2.67
img307,0
img308,4.0
img309,6.33
img310,0
img311,6.0
img312,0
img313,6.67
img314,0
img315,0
img316,0
img317,2.67
img318,5.0
img319,8.0
img320,0
img321,0
img322,6.0
img323,0
img324,0
img325,6.0
img326,0
img327,0
img328,6.0
img329,0
img330,2.67
img331,3.33
img332,0
img333,0
img334,0
img335,0
img336,0
img337,0
img338,0
img339,0
img340,6.0
img341,6.0
img342,0
img343,0
img344,6.0
img345,0
img346,4.33
img347,0
img348,0
img349,2.67
img350,0
img351,6.33
img352,8.0
img353,0
img354,0
img355,0
img356,0
img357,0
img358,0
img359,5.67
img360,5.0
img361,0
img362,0
img363,0
img364,0
img365,8.0
img366,0
img367,0
img368,0
img369,0
img370,6.0
img371,2.67
img372,0
img373,3.33
img374,0
img375,0
img376,0
img377,0
img378,6.0
img379,5.0
img380,0
img381,6.33
img382,0
img383,0
img384,0
img385,6.0
img386,6.0
img387,0
img388,5.0
img389,0
img390,0
img391,5.0
img392,6.0
img393,0
img394,6.0
img395,0
img396,0
img397,0
img398,2.67
img399,3.33
img400,0
img401,0
img402,0
img403,0
img404,5.67
img405,3.33
img406,0
img407,4.33
img408,0
img409,0
img410,1.33
img411,6.0
img412,5.67
img413,6.33
img414,0
img415,2.67
img416,0
img417,0
img418,0
img419,0
img420,0
img421,6.0
img422,0
img423,0
img424,0
img425,0
img426,0
img427,3.33
img428,0
img429,6.0
img430,0
img431,6.0
img432,0
img433,4.33
img434,0
img435,0
img436,6.0
img437,0
img438,0
img439,5.33
img440,0
img441,0
img442,0
img443,0
img444,0
img445,0
img446,0
img447,0
img448,6.0
img449,0
img450,6.67
img451,0
img452,0
img453,0
img454,3.33
img455,0
img456,3.33
img457,0
img458,8.0
img459,0
img460,3.33
img461,0
img462,0
img463,5.33
img464,0
img465,0
img466,0
img467,5.67
img468,4.0
img469,0
img470,0
img471,4.0
img472,0
img473,0
img474,0
img475,6.33
img476,0
img477,0
img478,6.0
img479,8.0
img480,0
img481,0
img482,0
img483,0
img484,0
img485,7.0
img486,5.67
img487,6.0
img488,8.0
img489,0
img490,0
img491,3.0
img492,0
img493,0
img494,0
img495,2.67
img496,0
img497,0
img498,6.0
img499,0
